Instruction,Type,Opcode,Func3,Func7
add,R-Type,0110011,000,0000000
sub,R-Type,0110011,000,0100000
or,R-Type,0110011,110,0000000
and,R-Type,0110011,111,0000000
xor,R-Type,0110011,100,0000000
slt,R-Type,0110011,010,0000000
srl,R-Type,0110011,101,0000000
sll,R-Type,0110011,001,0000000
addi,I-Type,0010011,000,
ori,I-Type,0010011,110,
andi,I-Type,0010011,111,
xori,I-Type,0010011,100,
slti,I-Type,0010011,010,
srli,I-Type,0010011,101,0000000
slli,I-Type,0010011,001,0000000
jalr,I-Type,1100111,000,
lw,I-Type,0000011,010,
sw,S-Type,0100011,010,
beq,SB-Type,1100011,000,
bne,SB-Type,1100011,001,
blt,SB-Type,1100011,100,
bge,SB-Type,1100011,101,
auipc,U-Type,0010111,,
jal,UJ-Type,1101111,,
j,UJ-Type,1101111,,

